age,gender,genere
21,1,Disco
23,1,Disco
24,1,Disco
26,1,Disco
28,1,Hiphop
30,1,Hiphop
31,1,Hiphop
32,1,Hiphop
33,1,Opera
34,1,Opera
37,1,Opera
39,1,Rock
40,1,Rock
42,1,Rock
43,1,Rock
46,1,Classical
47,1,Classical
48,1,Classical
49,1,Classical
50,1,Classical
21,0,Disco
22,0,Disco
24,0,Disco
25,0,Disco
27,0,Hiphop
29,0,Hiphop
30,0,Hiphop
31,0,Hiphop
32,0,Hiphop
36,0,Opera
37,0,Opera
38,0,Opera
39,0,Opera
40,0,Rock
41,0,Rock
43,0,Rock
46,0,Rock
47,0,Classical
48,0,Classical
49,0,Classical
50,0,Classical
